model,data_size,train_n,fold,f1_macro,accuracy,train_time_sec
GBERT,10%,491,0,0.5217391304347826,0.5959595959595959,177.12310028076172
GBERT,10%,491,1,0.49743589743589745,0.5510204081632653,177.7880620956421
GBERT,10%,491,2,0.5361730899256254,0.6428571428571429,177.03399896621704
GBERT,10%,491,3,0.5472676056338028,0.5816326530612245,176.07509088516235
GBERT,10%,491,4,0.5045955882352942,0.5510204081632653,172.50096130371094
GBERT,25%,1226,0,0.7203062229970438,0.7560975609756098,183.26842069625854
GBERT,25%,1226,1,0.6616986301369863,0.7428571428571429,919.1451160907745
GBERT,25%,1226,2,0.7830108838985219,0.8163265306122449,195.88719153404236
GBERT,25%,1226,3,0.6983828899321858,0.7591836734693878,196.02995347976685
GBERT,25%,1226,4,0.6852425180598556,0.7510204081632653,205.16819667816162
GBERT,50%,2452,0,0.7897043814245097,0.8085539714867617,205.71317601203918
GBERT,50%,2452,1,0.7826796166718885,0.8187372708757638,204.5410499572754
GBERT,50%,2452,2,0.7869318181818181,0.8163265306122449,202.70535159111023
GBERT,50%,2452,3,0.7928308823529411,0.8122448979591836,203.6432342529297
GBERT,50%,2452,4,0.7876745305729418,0.8163265306122449,204.66372394561768
GBERT,75%,3678,0,0.8006801452634009,0.8342391304347826,219.79336595535278
GBERT,75%,3678,1,0.7567457627118643,0.7880434782608695,231.66480016708374
GBERT,75%,3678,2,0.8129914804623961,0.8410326086956522,222.4122018814087
GBERT,75%,3678,3,0.794065166877682,0.819047619047619,224.62170267105103
GBERT,75%,3678,4,0.7925111356774823,0.8217687074829932,240.37359809875488
GBERT,100%,4904,0,0.8042080350890038,0.8277268093781855,258.01003241539
GBERT,100%,4904,1,0.8257986153860724,0.8470948012232415,248.33335828781128
GBERT,100%,4904,2,0.8135760708448938,0.836901121304791,262.321590423584
GBERT,100%,4904,3,0.7935790036538632,0.8267074413863404,257.9776961803436
GBERT,100%,4904,4,0.8113622614530056,0.8285714285714286,246.52409887313843
