model,preprocessing,fold,f1_macro,precision_macro,recall_macro,accuracy,train_time_sec
GBERT,original,0,0.7942750510944581,0.798687563097928,0.790519877675841,0.8195718654434251,85.72702193260193
GBERT,original,1,0.8073042428423595,0.816980666798185,0.8000737683487096,0.8328236493374108,88.41102981567383
GBERT,original,2,0.8144856278366113,0.8188455789352651,0.8107234900832929,0.836901121304791,86.96459245681763
GBERT,original,3,0.79641300667373,0.8118225724453483,0.7863682628020767,0.8256880733944955,86.5992820262909
GBERT,original,4,0.8054091064703869,0.7994561795946796,0.8140972505163184,0.8224489795918367,85.47394871711731
GBERT,remove_urls,0,0.802940444988617,0.8110956364813308,0.7966360856269112,0.8287461773700305,86.73214626312256
GBERT,remove_urls,1,0.8073042428423595,0.816980666798185,0.8000737683487096,0.8328236493374108,87.19911050796509
GBERT,remove_urls,2,0.8144856278366113,0.8188455789352651,0.8107234900832929,0.836901121304791,86.37531185150146
GBERT,remove_urls,3,0.79641300667373,0.8118225724453483,0.7863682628020767,0.8256880733944955,86.71947002410889
GBERT,remove_urls,4,0.8054091064703869,0.7994561795946796,0.8140972505163184,0.8224489795918367,86.02401804924011
GBERT,normalize_usernames,0,0.8059416559416559,0.8127792867782353,0.8004587155963303,0.8307849133537207,88.89167881011963
GBERT,normalize_usernames,1,0.8099782862390235,0.8189835604862087,0.8031225488365143,0.8348623853211009,87.32363390922546
GBERT,normalize_usernames,2,0.8056186508665268,0.8192559239321828,0.7962803010495649,0.8328236493374108,86.85299038887024
GBERT,normalize_usernames,3,0.7939075630252102,0.8124206320527778,0.7825677921786875,0.8246687054026504,87.56090092658997
GBERT,normalize_usernames,4,0.8096295890010239,0.8037984596726917,0.8179233928563066,0.826530612244898,86.707839012146
GBERT,remove_emojis,0,0.788864762487804,0.796663364685805,0.782874617737003,0.8165137614678899,87.62187266349792
GBERT,remove_emojis,1,0.8046412846412847,0.8009459176901608,0.8091150599484556,0.8236493374108053,87.08642220497131
GBERT,remove_emojis,2,0.8122128637059725,0.8122128637059725,0.8122128637059725,0.8328236493374108,86.06922388076782
GBERT,remove_emojis,3,0.8021869898157505,0.8183233136335847,0.7917141336421021,0.8307849133537207,87.6475419998169
GBERT,remove_emojis,4,0.8073899371069182,0.8016056636787956,0.8156286440844656,0.8244897959183674,86.69399547576904
GBERT,lowercase,0,0.7851632011967091,0.7932065404305915,0.7790519877675841,0.8134556574923547,87.50653171539307
GBERT,lowercase,1,0.809247490098554,0.8031511296922256,0.8182333881148919,0.8256880733944955,86.66641330718994
GBERT,lowercase,2,0.7925170026443804,0.8114329173651207,0.781043401934785,0.8236493374108053,86.47802090644836
GBERT,lowercase,3,0.7807004470938896,0.7910238185180031,0.7733654241213163,0.8103975535168195,87.70965147018433
GBERT,lowercase,4,0.7776615763146368,0.7906244940909827,0.7690288529534353,0.8091836734693878,87.41344165802002
GBERT,full_preprocessing,0,0.8042080350890038,0.8075802862899761,0.8012232415902141,0.8277268093781855,86.96027445793152
GBERT,full_preprocessing,1,0.8257986153860724,0.8309552425364165,0.8214152317633436,0.8470948012232415,87.00730013847351
GBERT,full_preprocessing,2,0.8135760708448938,0.8198474945533769,0.8084474097038061,0.836901121304791,85.87525749206543
GBERT,full_preprocessing,3,0.7935790036538632,0.8193988050784167,0.7795470249878609,0.8267074413863404,85.87706184387207
GBERT,full_preprocessing,4,0.8113622614530056,0.8059673307525257,0.8186914312207596,0.8285714285714286,86.08574962615967
GBERT,full_preprocessing_lowercase,0,0.7909583384632869,0.7950328742141384,0.7874617737003058,0.8165137614678899,87.0546383857727
GBERT,full_preprocessing_lowercase,1,0.8156015037593984,0.8225943597916505,0.809978803271953,0.8389398572884812,86.71730279922485
GBERT,full_preprocessing_lowercase,2,0.7814365921040906,0.8063160140830044,0.7680965898479812,0.8165137614678899,85.84208583831787
GBERT,full_preprocessing_lowercase,3,0.7870313193492986,0.7991071428571428,0.7787182982855863,0.8165137614678899,86.89234519004822
GBERT,full_preprocessing_lowercase,4,0.786555410892934,0.7986837011227255,0.7782055064604203,0.8163265306122449,87.13418126106262
